Gene_ID,Gene_Name,Condition
ENSG00000200983,SNORA3A,Pre-Transplant
ENSG00000175224,ATG13,Pre-Transplant
ENSG00000152219,ARL14EP,Pre-Transplant
ENSG00000132286,TIMM10B,Pre-Transplant
ENSG00000176555,OR4S1,Pre-Transplant
ENSG00000255450,EEF1A1P47,Pre-Transplant
ENSG00000254879,PTPRJ-AS1,Pre-Transplant
ENSG00000223609,HBD,Pre-Transplant
ENSG00000248990,LINC02758,Pre-Transplant
ENSG00000255304,OR4A46P,Pre-Transplant
ENSG00000165916,PSMC3,Pre-Transplant
ENSG00000201403,SNORD14B,Pre-Transplant
ENSG00000216708,CIR1P3,Pre-Transplant
ENSG00000176567,OR4X1,Pre-Transplant
ENSG00000249633,OR52V1P,Pre-Transplant
ENSG00000170790,OR10A2,Pre-Transplant
ENSG00000254693,CD82-AS1,Pre-Transplant
ENSG00000284525,MIR4687,Pre-Transplant
ENSG00000199077,MIR129-2,Pre-Transplant
ENSG00000254946,LINC02751,Pre-Transplant
ENSG00000180785,OR51E1,Pre-Transplant
ENSG00000236965,OR52N3P,Pre-Transplant
ENSG00000225997,OR4A8,Pre-Transplant
ENSG00000246820,RIC3-DT,Pre-Transplant
ENSG00000244267,RPL34P22,Pre-Transplant
ENSG00000240298,RPL36AP40,Pre-Transplant
ENSG00000283497,MIR3160-2,Pre-Transplant
ENSG00000183242,WT1-AS,Pre-Transplant
ENSG00000175220,ARHGAP1,Pre-Transplant
ENSG00000176148,TCP11L1,Pre-Transplant
ENSG00000229534,HNRNPA1P53,Pre-Transplant
ENSG00000007372,PAX6,Pre-Transplant
ENSG00000175216,CKAP5,Pre-Transplant
ENSG00000110435,PDHX,Pre-Transplant
ENSG00000231049,OR52B5P,Pre-Transplant
ENSG00000180909,OR52B1P,Pre-Transplant
ENSG00000254512,PHB1P2,Pre-Transplant
ENSG00000183269,OR52E8,Pre-Transplant
ENSG00000207252,Y_RNA,Pre-Transplant
ENSG00000129084,PSMA1,Pre-Transplant
ENSG00000272664,OR51C4P,Pre-Transplant
ENSG00000221840,OR4A5,Pre-Transplant
ENSG00000288434,ANKRD33BP3,Pre-Transplant
ENSG00000284018,SSU72L5,Pre-Transplant
ENSG00000085063,CD59,Pre-Transplant
ENSG00000254860,TMEM9B-AS1,Pre-Transplant
ENSG00000158077,NLRP14,Pre-Transplant
ENSG00000176904,OR51H1,Pre-Transplant
ENSG00000175097,RAG2,Pre-Transplant
ENSG00000253973,NRIP3-DT,Pre-Transplant
ENSG00000279486,OR2AG1,Pre-Transplant
ENSG00000135365,PHF21A,Pre-Transplant
ENSG00000134574,DDB2,Pre-Transplant
ENSG00000167359,OR51I1,Pre-Transplant
ENSG00000121621,KIF18A,Pre-Transplant
ENSG00000255190,TRIM51DP,Pre-Transplant
ENSG00000169519,METTL15,Pre-Transplant
ENSG00000176009,ASCL3,Pre-Transplant
ENSG00000129170,CSRP3,Pre-Transplant
ENSG00000184789,OR4C10P,Pre-Transplant
ENSG00000183161,FANCF,Pre-Transplant
ENSG00000271332,ATP5MGP8,Pre-Transplant
ENSG00000273725,Metazoa_SRP,Pre-Transplant
ENSG00000074319,TSG101,Pre-Transplant
ENSG00000278529,MIR8070,Pre-Transplant
ENSG00000254738,MRGPRX11P,Pre-Transplant
ENSG00000183378,OVCH2,Pre-Transplant
ENSG00000240554,RPL7AP58,Pre-Transplant
ENSG00000255138,GLTPP1,Pre-Transplant
ENSG00000151117,TMEM86A,Pre-Transplant
ENSG00000237272,OR51R1P,Pre-Transplant
ENSG00000250640,OR7E41P,Pre-Transplant
ENSG00000166337,TAF10,Pre-Transplant
ENSG00000171944,OR52A5,Pre-Transplant
ENSG00000227160,THEM7P,Pre-Transplant
ENSG00000274589,Metazoa_SRP,Pre-Transplant
ENSG00000183801,OLFML1,Pre-Transplant
ENSG00000184937,WT1,Pre-Transplant
ENSG00000175390,EIF3F,Pre-Transplant
ENSG00000149182,ARFGAP2,Pre-Transplant
ENSG00000170959,DCDC1,Pre-Transplant
ENSG00000246273,SBF2-AS1,Pre-Transplant
ENSG00000189332,SLC25A51P4,Pre-Transplant
ENSG00000166689,PLEKHA7,Pre-Transplant
